acad_org,catalog_nbr,class_nbr,subject,subject_descr,descr,units,acad_career_descr,description
FREN,2010,10162,FREN,French,Intermediate French I,3,Undergraduate,"Develops the skills of listening, speaking, reading, and writing. Focuses on reading skill development through readings on contemporary Francophone culture and short stories. Followed by FREN 2020. Prerequisite: FREN 1020 or one to three years of formal instruction in French and appropriate SAT score."
FREN,2020,19330,FREN,French,Intermediate French II,3,Undergraduate,Designed for continued development of the four skills at an advanced level. Readings emphasize contemporary Francophone culture and include a modern French play. Prerequisite: FREN 2010 or one to three years of formal instruction in French and appropriate SAT score.
FREN,3029,12957,FREN,French,Language House Conversation,1,Undergraduate,For students residing in the French House.
FREN,3031,11587,FREN,French,Finding Your Voice in French,3,Undergraduate,"In this course, students explore and develop their own ""voice"" in written and spoken French. Through reading and viewing a variety of cultural artifacts in French, and completing a series of individual and collaborative creative projects, students will improve their skills in grammar, communication, self-expression and editing. 
Prerequisite: FREN 2020, 2320, or the equivalent, or appropriate AP, F-CAPE, or SAT score."
FREN,3032,12054,FREN,French,"Text, Image, Culture",3,Undergraduate,"In this course, students will discover and engage critically with a broad sampling of French and Francophone cultural production representing a variety of periods, genres, approaches, and media. Students will read, view, write about and discuss a range of works that may include poetry, painting, prose, music, theater, films, graphic novels, photographs, essays, and historical documents. 
Prerequisite: FREN 3031."
FREN,3034,13100,FREN,French,Advanced Oral Expression in French,3,Undergraduate,"A focus on speaking, listening, and pronunciation. Activities include guided conversation practice, discussion leading, and other oral activities related to authentic materials in French. Work may include quizzes, presentations, reports, interviews, exams , and projects. Prerequisite: FREN 3031 or concurrent enrollment in FREN 3031. Not intended for students who are native speakers of French or whose secondary education was in French schools."
FREN,3037,13834,FREN,French,French for Global Development and Humanitarian Action,3,Undergraduate,Designed for students seeking to develop advanced linguistic skills in oral and written French and cultural competence in preparation for careers related to global development and humanitarian action. Discussions and assignments revolve around case studies and simulated professional situations drawn from real-life global development and humanitarian aid initiatives in the francophone world.
FREN,3042,19338,FREN,French,The French-Speaking World II: Expansion,3,Undergraduate,"Survey of writing in French from 1600 to 1800. Explores various movements and trends in French literary and cultural history of the classical period and the enlightenment. 
Prerequisite: FREN 3032."
FREN,3043,13102,FREN,French,The French-Speaking World III: Modernities,3,Undergraduate,Survey of writing in French from 1800 to the present. Explores various movements and trends in French literary and cultural history of the modern and contemporary periods. Prerequisite: FREN 3032.
FREN,3559,20763,FREN,French,New Course in French and Francophone Cultural Topics,1,Undergraduate,This course provides the opportunity to offer a new topic in the subject area of French and Francophone culture.
FREN,3584,19337,FREN,French,Topics in French Cinema,3,Undergraduate,"Studies topics relating to concepts of film structure, history, and criticism in French and within the French tradition. Topics offered include Introduction to Cinema and Texte écrit/texte filmique. Prerequisite: FREN 3032."
FREN,3585,19146,FREN,French,Topics in Cultural Studies,3,Undergraduate,"Interdisciplinary seminar in French and Francophone culture and society. Topics vary annually and may include literature and history, cinema and society, and cultural anthropology. Prerequisite: FREN 3032."
FREN,4585,19133,FREN,French,Advanced Topics in Cultural Studies,3,Undergraduate,Advanced seminar in French and Francophone literature and culture. Topics vary. May be repeated for credit for different topics. Prerequisite: At least one literature or culture course beyond FREN 3032.
FREN,4838,19135,FREN,French,French Society and Civilization,3,Undergraduate,Discusses political institutions and social problems based upon readings in recent publications and an analysis of current events. Prerequisite: FREN 3032 and another FREN course beyond 3034.
FREN,4993,21383,FREN,French,Independent Study,1 - 3,Undergraduate,"Normally, only French majors may enroll in this course and only by written permission from the department chair prior to the end of the first week of classes."
FREN,4999,12114,FREN,French,Thesis,3,Undergraduate,"Composition and defense of thesis. Prerequisite: FREN 4998 and good standing in the Distinguished Majors Program. Note: The prerequisite to all 5000-level literature courses is two 4000-level literature courses with an average grade of B, or the instructor's permission."
FREN,5570,19314,FREN,French,Topics in Twentieth- and Twenty-First Century Literature,3,Graduate,"Study of the various aspects of twentieth-century French literature. Genre, theme, and specific chronological concentration will vary. May be repeated for credit with different topics."
FREN,5584,19335,FREN,French,Topics in Cinema,3,Graduate,"A range of analytical approaches to the study of cinema, including cinematographic language and structure, the representation of socio-cultural phenomena in film, and the experience of cinema viewing as a cultural and historical practice."
FREN,5993,20762,FREN,French,Independent Study,1 - 3,Graduate,Independent Study
FREN,7559,19313,FREN,French,New Course in French Language and General Linguistics,3,Graduate,This course provides the opportunity to offer a new topic in the subject area of French literature and general linguistics.
FREN,8570,19334,FREN,French,Seminar in Twentieth and Twenty-First Century Literature,3,Graduate,"Study of the various aspects of modern and contemporary French and Francophone literature. Genre, theme, and specific chronological concentration will vary."
FREN,8584,19336,FREN,French,Seminar in Cinema,3,Graduate,"A range of analytical approaches to the study of cinema, including cinematographic language and structure, the representation of socio-cultural phenomena in film, and the experience of cinema viewing as a cultural and historical practice."
FREN,9998,10170,FREN,French,"Non-Topical Research, Preparation for Master's and Doctoral Research",1 - 12,Graduate,"For masters and doctoral research, taken before a dissertation director has been selected."
FREN,9999,11165,FREN,French,Dissertation Research,1 - 12,Graduate,"For doctoral dissertation, taken under the supervision of a dissertation director."
FREN,3559,19331,FRTR,French in Translation,New Course French Cultural Topics,3,Undergraduate,This course provides the opportunity to offer new topics in French Culture in translation.
MCDG,7208,20106,GBAC,Grad Business Analytics Comm.,Customer Analytics II,2.5,Graduate,"This course introduces advanced analytical multivariate techniques used in marketing to understand customer and employee attitudes and behavior from data to gain market intelligence plus target and segment customers and employees that maximizes important marketing metrics. Topics include advanced regression techniques, logistic regression, path analysis, cluster and discriminant analysis, and experimental design. You will use SPSS and R."
MCDG,7209,20107,GBAC,Grad Business Analytics Comm.,Data Analytics II: Predictive Analytics and Machine Learning,2.5,Graduate,"You will learn some of the world's most powerful predictive models. We cover a variety of machine learning algorithms and survival models. We have a hands-on approach, working on real case studies to deepen our understanding of how machine learning solves business problems. You will be exposed to Python and learn to write Python code. In teams, you will compete with peers to develop the best predictive models using machine learning algorithms."
MCDG,7212,20108,GBAC,Grad Business Analytics Comm.,Databases and Structured Data Management,1,Graduate,"Covers end-to-end processes relating to the capture, organization, use, and protection of data for analytical purposes. You will learn how to build an optimized relational database and use SQL to extract data to support an organization's analytics strategy and provide important managerial insights from raw data. Extraction, transformation, load (ETL) and data privacy/security will also be discussed in the context of modern organizations."
MCDG,7214,20109,GBAC,Grad Business Analytics Comm.,Customer Analytics III: Improve the User Experience with Digital Analytics,1,Graduate,"This course focuses on analytics in the digital marketing space through discussion of concepts, technologies, and tools necessary to support digital commerce. Emphasis is placed on tools and methodologies for bolstering web presence through web and search analytics. Specific topics include methods for analyzing and improving user experience, web traffic, online engagement, and conversion rates."
MCDG,7215,20110,GBAC,Grad Business Analytics Comm.,"Data Analytics III: Deep Learning, Transformers, and AI",2,Graduate,"We cover natural language processing, deep learning, and artificial intelligence to apply them to text and image data. You will learn algorithms that are the backbone of technologies used by Google and Tesla. You will also learn about Transformers, a revolutionizing concept that has caused a paradigm shift in artificial intelligence. In teams, you will compete with peers to develop the best predictive models to process and analyze text data."
MCDG,7216,20111,GBAC,Grad Business Analytics Comm.,Managing Big Data,1.5,Graduate,"This course will introduce the latest practices and technologies for managing big data. It will first compare and contrast big data to relational data in both operational and analytical data systems. It will then explore modern technologies (e.g., Spark and NoSQL), cloud computing (e.g., AWS), and reference architectures for retrieving, storing, integrating and analyzing big data. Finally, it will demonstrate big-data-enabled AI applications."
MCDG,7224,20112,GBAC,Grad Business Analytics Comm.,Business Ethics and the Digital Age,1.5,Graduate,"This course will introduce the latest practices and technologies for managing big data. It will first compare and contrast big data to relational data in both operational and analytical data systems. It will then explore modern technologies (e.g., Spark and NoSQL), cloud computing (e.g., AWS), and reference architectures for retrieving, storing, integrating and analyzing big data. Finally, it will demonstrate big-data-enabled AI applications."
GBUSD,7100,18693,GBUS,Graduate Business,Global Leadership Explorations - Part I,1.5,Graduate Business,"Each location chosen for our GEMBA residencies offers a broad set of opportunities for building global awareness as well as allowing more integration opportunities across courses. Global Leadership Explorations are a series of courses that will leverage the ""why"" we are in a certain location and ""what"" we can learn about ourselves, our companies, business and our world."
GBUSD,7101,18689,GBUS,Graduate Business,Global Leadership Explorations - Part II,1.5,Graduate Business,"Each location chosen for our GEMBA residencies offers a broad set of opportunities for building global awareness as well as allowing more integration opportunities across courses. Global Leadership Explorations are a series of courses that will leverage the ""why"" we are in a certain location and ""what"" we can learn about ourselves, our companies, business and our world."
GBUSD,7102,18698,GBUS,Graduate Business,Global Leadership Explorations - Part III,1.5,Graduate Business,"Each location chosen for our GEMBA residencies offers a broad set of opportunities for building global awareness as well as allowing more integration opportunities across courses. Global Leadership Explorations are a series of courses that will leverage the 'why' we are in a certain location and 'what' we can learn about ourselves, our companies, business and our world."
GBUSD,7103,18709,GBUS,Graduate Business,Global Leadership Explorations - Part IV,1.5,Graduate Business,"Each location chosen for our GEMBA residencies offers a broad set of opportunities for building global awareness as well as allowing more integration opportunities across courses. Global Leadership Explorations are a series of courses that will leverage the 'why' we are in a certain location and 'what' we can learn about ourselves, our companies, business and our world."
GBUSD,7104,20583,GBUS,Graduate Business,Global Leadership Explorations - Part V,3,Graduate Business,"Each location chosen for our GEMBA residencies offers a broad set of opportunities for building global awareness as well as allowing more integration opportunities across courses. Global Leadership Explorations are a series of courses that will leverage the 'why' we are in a certain location and 'what' we can learn about ourselves, our companies, business and our world."
GBUSD,7210,18377,GBUS,Graduate Business,Leadership Communication,1.5,Graduate Business,"This course gives students the guidance and hands-on experience that will allow them to communicate effectively as managers and leaders. Students will examine communication strategies essential for success in business, identify their personal strengths and goals, and practice activities that build upon proven competencies and offer practice in new approaches. Students will gain comfort and skill in a personal communication style that is authentic, credible, and authoritative. The course will improve students' understanding of and ability to apply communication strategy, and will help them not only appreciate the power of personal and organizational narratives but also deliver successful written documents and oral presentations."
GBUSD,7215,18658,GBUS,Graduate Business,Leadership Communication,1.5,Graduate Business,"This course gives students the guidance and hands-on experience that will allow them to communicate effectively as managers and leaders. Students will examine communication strategies essential for success in business, identify their personal strengths and goals, and practice activities that build upon proven competencies and offer practice in new approaches."
GBUSD,7231,18508,GBUS,Graduate Business,Global Economies and Markets,1.5,Graduate Business,"This course applies the ideas and methodologies of economics to the analysis of the business environment in which firms operate and managers make decisions. The course expands students' knowledge of global economies and markets in three dimensions. First, it delivers insights and tools for analyzing markets in the global economy by studying such topics as competition, market structure, efficiency, industry equilibrium, and change. Prerequisites: Restricted to Darden students."
GBUSD,7232,18394,GBUS,Graduate Business,Global Economies and Markets - Part II,1.5,Graduate Business,"This course applies the ideas and methodologies of economics to the analysis of the business environment in which firms operate and managers make decisions. The course expands students' knowledge of global economies and markets in three dimensions. First, it delivers insights and tools for analyzing markets in the global economy by studying such topics as competition, market structure, efficiency, industry equilibrium, and change. Prerequisites: Restricted to Darden students."
GBUSD,7236,18664,GBUS,Graduate Business,Global Economies and Markets - Part II,1.5,Graduate Business,"This course applies the ideas and methodologies of economics to the analysis of the business environment in which firms operate and managers make decisions. The course expands students' knowledge of global economies and markets in three dimensions. First, it delivers insights and tools for analyzing markets in the global economy by studying such topics as competition, market structure, efficiency, industry equilibrium, and change."
GBUSD,7252,18510,GBUS,Graduate Business,Financial Management and Policies,3,Graduate Business,"This corporate-finance course focuses on corporate policy and the tactics that increase the value of the corporation. The course starts by stressing how managers interface with the capital markets to learn the return required by the firm's different investors. This required return, or cost of capital, is used later as the key variable to assess whether capital-investment proposals can create value for stakeholders. Prerequisites: Restricted to Darden students."
GBUSD,7255,18660,GBUS,Graduate Business,Financial Management and Policies (Part I),1.5,Graduate Business,"This corporate-finance course focuses on corporate policy and the tactics that increase the value of the corporation. The course starts by stressing how managers interface with the capital markets to learn the return required by the firm's different investors. This required return, or cost of capital, is used later as the key variable to assess whether capital-investment proposals can create value for stakeholders."
GBUSD,7256,20616,GBUS,Graduate Business,Financial Management and Policies - Part II,1.5,Graduate Business,"This corporate-finance course focuses on corporate policy and the tactics that increase the value of the corporation. The course starts by stressing how managers interface with the capital markets to learn the return required by the firm's different investors. This required return, or cost of capital, is used later as the key variable to assess whether capital-investment proposals can create value for stakeholders."
GBUSD,7272,18509,GBUS,Graduate Business,Accounting for Managers,3,Graduate Business,"As the language of business and the cornerstone of the financial capital markets, accounting provides terminology, frameworks, and concepts with which to understand and analyze the financial consequences of business activities. As these activities have become increasingly complex and global, the task of presenting timely, relevant, and reliable financial information to interested internal and external users has become more challenging. Prerequisites: Restricted to Darden students."
GBUSD,7276,18662,GBUS,Graduate Business,Accounting for Managers - Part II,1.5,Graduate Business,"As the language of business and the cornerstone of the financial capital markets, accounting provides terminology, frameworks, and concepts with which to understand and analyze the financial consequences of business activities. As these activities have become increasingly complex and global, the task of presenting timely, relevant, and reliable financial information to interested internal and external users has become more challenging."
GBUSD,7291,18503,GBUS,Graduate Business,Marketing,2,Graduate Business,This course provides students with an introduction to consumer behavior and marketing analytics. Its goal is to expose students to difficult marketing issues that both U.S. and foreign companies face.
GBUSD,7292,18407,GBUS,Graduate Business,Marketing Part II,1,Graduate Business,"This course provides students with an introduction to consumer behavior and marketing analytics. Its goal is to expose students to difficult marketing issues that both U.S. and foreign companies face.
Prerequisite: GBUS 7291"
GBUSD,7311,18507,GBUS,Graduate Business,Operations Management,1.5,Graduate Business,"This course is designed to convey to students both the fundamentals of operations and the understanding that the link between operations and firm performance is a crucial source of competitive advantage. Managing the underlying processes by which firms create and deliver value is at the heart of the operations function in every line of business, and this course focuses on how to do this well. Prerequisite: Restricted to Darden students."
GBUSD,7312,18408,GBUS,Graduate Business,Operations Management - Part II,1.5,Graduate Business,"This course is designed to convey to students both the fundamentals of operations and the understanding that the link between operations and firm performance is a crucial source of competitive advantage. Managing the underlying processes by which firms create and deliver value is at the heart of the operations function in every line of business, and this course focuses on how to do this well. Prerequisite: Restricted to Darden students."
GBUSD,7315,18666,GBUS,Graduate Business,Operations Management Part I,1.5,Graduate Business,"This course is designed to convey to students both the fundamentals of operations and the understanding that the link between operations and firm performance is a crucial source of competitive advantage. Managing the underlying processes by which firms create and deliver value is at the heart of the operations function in every line of business, and this course focuses on how to do this well."
GBUSD,7341,18502,GBUS,Graduate Business,Leading Organizations,1.5,Graduate Business,High-performing organizations are driven by leaders who enable people to be effective in their jobs. This course helps students cultivate mind-sets and use tools to influence behavior in organizations. Prerequisites: Restricted to Darden students.
GBUSD,7346,20278,GBUS,Graduate Business,Leading Organizations Part II,1.5,Graduate Business,High-performing organizations are driven by leaders who enable people to be effective in their jobs. This course helps students cultivate mind-sets and use tools to influence behavior in organizations.
GBUSD,7351,18504,GBUS,Graduate Business,Decision Analysis,1.5,Graduate Business,"Business decisions, both tactical and strategic, are frequently made difficult by the presence of uncertainty in the resulting consequences. This course presents a philosophy for framing, analyzing, and proactively managing decisions involving uncertainty, whether the uncertainty results from general conditions or the actions of competitors. The course will focus on making the uncertainty explicit so that it can be objectively analyzed. Prerequisites: Restricted to Darden students."
GBUSD,7352,18395,GBUS,Graduate Business,Decision Analysis - Part II,1.5,Graduate Business,"Business decisions, both tactical and strategic, are frequently made difficult by the presence of uncertainty in the resulting consequences. This course presents a philosophy for framing, analyzing, and proactively managing decisions involving uncertainty, whether the uncertainty results from general conditions or the actions of competitors. The course will focus on making the uncertainty explicit so that it can be objectively analyzed. Prerequisites: Restricted to Darden students."
GBUSD,7355,20603,GBUS,Graduate Business,Decision Analysis - Part I,1.5,Graduate Business,"Business decisions, both tactical and strategic, are frequently made difficult by the presence of uncertainty in the resulting consequences. This course presents a philosophy for framing, analyzing, and proactively managing decisions involving uncertainty, whether the uncertainty results from general conditions or the actions of competitors. The course will focus on making the uncertainty explicit so that it can be objectively analyzed."
GBUSD,7380,18378,GBUS,Graduate Business,Business Ethics (Part 1),1.5,Graduate Business,"The purpose of this course is to enable students to reason about the role of ethics in business administration in a complex, dynamic, global environment. Throughout the course, students will be encouraged to think deeply about the nature of business, the responsibilities of management, and how business and ethics can be put together. Cases without easy answers that raise a range of problems facing managers in the contemporary business environment will be used. Discussions will focus on developing a framework for analyzing the issues in moral terms and then making a decision and developing a set of reasons for why the decision was justified. Students will be pushed to think carefully about how they make decisions and develop their capacity to defend their decisions to other stakeholders. This is important as a way not only to foster integrity and responsible decision making, but also to push students to take leadership roles in dealing with complex and difficult choices they will face in their careers. Operating from a managerial perspective, students will address a range of themes in the class, including basic concepts in ethics, responsibilities to stakeholders and the building blocks of markets, corporate culture, the sources of ethical breakdowns in organizations, managerial integrity, value creation, and personal values and managerial choice."
GBUSD,7400,18506,GBUS,Graduate Business,Strategic Thinking and Action,1.5,Graduate Business,"This course develops students' ability to analyze the organizational and external factors essential for crafting and executing a firm's strategy for sustained success. The course draws heavily from the key concepts, frameworks, and tools of strategic management. Taking an action orientation, it reinforces and revitalizes the general-management perspective, the core mission of the school. Because of increasing global interdependence and an ever-shifting business environment, it emphasizes both the dynamics and the global aspects of strategic management. Topics include developing and evaluating strategy, building firm capability and sustaining competitive advantage, analyzing industry evolution and global rivalry, and linking strategy and execution. Course objectives are accomplished through exposure to cases from a range of industries and managerial settings. By providing students with an opportunity to apply analytical skills they learn in various first-year courses, the course fosters an integrative mind-set that will enable MBAs to operate at multiple levels and in different functions in their business careers."
GBUSD,7500,18423,GBUS,Graduate Business,"Innovation, Design, and Entrepreneurship in Action (IDEA)",1.5,Graduate Business,"This action-oriented, team-based course will engage students in a live field project over the course of seven weeks and will build upon the required First Year curriculum. IDEA is an innovative offering grounded in the approaches of design thinking, agile project management, data analytics, effectuation, and lean start-up. The course is centered on team-based field projects addressing real world global challenges."
GBUSD,7600,18382,GBUS,Graduate Business,Data Vistualization and Analytics,1.5,Graduate Business,"This course is designed for the student who wants to be optimally prepared to perform quantitative analysis at a level consistent with (and exceeding) expectations for MBA interns in positions where quantitative sophistication is required. Its only prerequisite is the first-year Decision Analysis course; no additional quantitative experience or acumen is required. The course will focus primarily on data analysis, used to both gain useful insights into relationships and make better, more useful forecasts. In addition to more advanced treatment of regression analysis (the goal being for students to be able to build and apply sophisticated regression models), students will become familiar with other common approaches to forecasting, such as rudimentary time-series analysis. Students will also improve their ability to structure, analyze, and manage situations involving uncertainty and risk, using simulation (Crystal Ball), decision trees, and the other tools introduced in the required Decision Analysis course. Finally, the course will introduce students to the concepts of optimization using Excel's Solver add-in, used to determine how to optimally allocate resources in situations involving complex trade-offs."
GBUSD,7601,18379,GBUS,Graduate Business,Financial Reporting,1.5,Graduate Business,"This course is intended to provide students with a comprehensive conceptual and applied understanding of our society's accounting and financial reporting system and an in-depth look at the numerous factors that managers and executives must consider as they confront complex and difficult financial accounting and reporting issues. Students will examine significant financial accounting and reporting issues from both a rigorous theoretical perspective and an informed practical perspective. Students will explore such traditional issues as revenue recognition, inventory valuation, and leases, and such contemporary issues as mergers and acquisitions, intangibles, and financial derivatives. Although the primary focus of the course will be on accounting and reporting practices in the United States, students will also address selected differences between U.S. accounting standards and international accounting standards. How the major accounting scandals that have occurred in recent years have affected the financial reporting process and those who have the responsibility for insuring the accuracy of a company's published financial statements will also be addressed. [l1] By the conclusion of this course, students should be reasonably proficient at understanding, interpreting, and analyzing the information contained in corporate financial statements and their related footnotes, and also be able to assess the overall quality of a company's financial reporting, identify the critical accounting policies, and make an assessment regarding the reasonableness of those policies and their supporting estimates and judgments."
GBUSD,7602,18485,GBUS,Graduate Business,Global Financial Markets,1.5,Graduate Business,"This course emphasizes the development of technical skills that enable students to improve their understanding of global financial markets. The course focuses on the key drivers of movements in currency and interest-rate markets around the world, as well as the important institutions and players that impact those markets. Students will examine how interest rates are impacted by such factors as central-bank behavior, fiscal policy, the state of the business cycle, productivity, inflation expectations, and international capital flows. For currencies, students will develop two related tool kits: one that is useful for understanding the drivers of orderly changes in exchange rates, and a second, through the construction of an early-warning system, that focuses on factors associated with large and potentially disorderly depreciations. Students will also investigate ways in which firms and investors manage interest-rate and currency exposure, as well as how countries manage exchange rates. The course, which includes both technical readings and cases, should appeal to a broad array of students, especially those who wish to pursue careers in investment banking, international finance, and general management."
GBUSD,7603,18380,GBUS,Graduate Business,Valuation in Financial Markets,1.5,Graduate Business,"This course focuses on how financial assets and firms are valued in financial markets. It directly extends and strengthens the corporate finance principles from the required first-year Financial Management and Policies course by applying valuation models to real financial data and assets. The course contains three modules: firm-valuation techniques, option-pricing principles, and fixed-income valuation. The first module extends the first-year finance course by considering more difficult firm valuations as well as alternate techniques for valuing firms. The second and third modules relate to the capital markets for which valuation principles from options and fixed-income instruments are used as building blocks to decompose the valuation of complex financial instruments."
GBUSD,7605,18391,GBUS,Graduate Business,Strategic Communication,1.5,Graduate Business,"Expanding on the model of first semester Management Communication, this course emphasizes how general managers can, through communicating with a consideration of changing contexts, further an organization's strategy and remove obstacles to implementing that strategy. Students will explore how in today's rapid pace of change in communication technology, the corporate communication function must communicate authentically to and align messages with all stakeholders while managers at every level will be increasingly expected to clearly articulate corporate strategy and goals. Many internships end with a presentation or report and seek three capabilities: mastery of key MBA concepts, solving an enterprise level problem, and superior communication skills. By moving from analysis to articulation and implementation, the communication perspective is especially suited to integrating key concepts in order to solve larger analytical problems. This class will use cases as a basis for such daily exercises as media training, financial conference calls, and action plan pitches and will conclude with a substantive presentation driven by student interests."
GBUSD,7609,20553,GBUS,Graduate Business,Entrepreneurial Thinking,1.5,Graduate Business,"This course is about learning to think and act entrepreneurially in order to create new value in the world through new products, new solutions, new ventures, new business units, new distribution channels, new firms, new business models, new technologies, and business transformation. The emphasis will be on the art and science of 'creating something new from little.' The orientation in the course will be to challenge students to think about how they can create, finance, and build or change a productive business organization with commonly available resources (e.g., intelligence, insight, energy, initiative, and personal relationships). Students will learn to use this orientation wherever new-venture creation may occur, namely, through the actions of an independent entrepreneur or in a large, established firm."
GBUSD,7611,18476,GBUS,Graduate Business,The Consulting Process,1.5,Graduate Business,"This course is intended to introduce students to the consulting process and to help them identify and refine the skill sets necessary for successful consultation. The course is designed specifically for students interested in pursuing consulting internships and careers but who do not have significant consulting experience prior to Darden. Approximately half of the course will focus on the cognitive processes involved in framing and designing the engagement specifically, hypothesis generating and testing, using a set of video cases that track the work of actual consulting teams as they move through the processes of initiating and completing client projects. The other half will address a more tactical set of issues around engagement work-planning, data-gathering, field-interviewing, and communicating with clients. The course will include the use of cases and exercises and the completion of a final project presentation. Students will be assigned to a consulting team to work with throughout the course."
GBUSD,7612,18409,GBUS,Graduate Business,Speaking about Business,1.5,Graduate Business,"By exploring in more depth the strategies of communication framed in the First-Year Management Communication course, this course offers students the opportunity to obtain the polished presentation skills, particularly oral, so necessary for a successful career."
GBUSD,7616,18521,GBUS,Graduate Business,Leadership Ride: Lesson in Leadership - Gettysburg,1.5,Graduate Business,"This elective course brings to life the American Civil War through readings and sessions with Gary Gallagher, world-renowned American Civil War historian, and an intensive two-day visit to the site of the Battle of Gettysburg. While visiting the battlefield, students will examine how Union army and Confederate army commanders faced their moments of decision."
GBUSD,7618,18417,GBUS,Graduate Business,Effectual Entrepreneurship,1.5,Graduate Business,Through a combination of cases and experiential exercises this course brings to students what expert entrepreneurs have learned the hard way. Expert entrepreneurs are people who have built multiple ventures including successes and failures and taken at least one company public.
GBUSD,7619,18424,GBUS,Graduate Business,Paths to Power,1.5,Graduate Business,"Power, status, and influence are topics that make many people somewhat uncomfortable. However, they are fundamental realities in much of organizational life and are the mechanisms by which things get done. Being an effective leader and change agent requires both understanding power and acting on that knowledge. This class is about power: how things get done, how to build and wield influence, and the multiple ways to accomplish these objectives."
GBUSD,7620,18392,GBUS,Graduate Business,Interpersonal Communications,1.5,Graduate Business,"This course looks at the barriers that limit individual and institutional networks and explores the ways in which networks can be expanded and strengthened resulting in more effective interpersonal communications. Students will learn that managers who understand and identify such networks are better informed, more effective, and more influential in their positions. Also included in the course will be the study of interpersonal, social, and organizational networks, how they can be created, and why they are valuable. Although the course will build on a number of the concepts presented in First-Year Management Communication, including audience analysis and persuasion, it will focus most closely on the role that storytelling plays in network creation and expansion. Instructional methodologies are a balance of cases and presentations, along with technical readings where appropriate. Leveraging our diverse community, role playing, impromptu speeches, narratives, more formal presentations, and some short written work will be used to build the skills necessary for effective networks. Students may choose a final presentation and paper to complete the course."
GBUSD,7805,21511,GBUS,Graduate Business,Experiential Learning - Part I,1.5,Graduate Business,"In these courses, students are engaged in applying the knowledge and experiences of the MBA Program within their business and job settings. Because participants in the MBA Program for Executives are employed on a full-time basis, they have the unique opportunity to immediately apply part or all of the learning."
GBUSD,7809,18679,GBUS,Graduate Business,Experiential Learning - Part V,1.5,Graduate Business,"In these courses, students are engaged in applying the knowledge and experiences of the MBA Program within their business and job settings. Because participants in the MBA Program for Executives are employed on a full-time basis, they have the unique opportunity to immediately apply part or all of the learning."
GBUSD,7816,18445,GBUS,Graduate Business,Envisioning Your Future,3,Graduate Business,The Leadership Residency 2 consists of three modules that support the main topic of the course and offer students an opportunity to reflect on various sides of changing. Leaders Changing Organizations explores different ways leaders can conceptualize change in order to implement it.
GBUSD,7994,18480,GBUS,Graduate Business,Strategic Analysis and Consulting,1.5,Graduate Business,"A ""deeper dive"" into the strategy concepts introduced in the first year Strategy course, with an orientation towards the practice of consulting, translating analysis into recommendations. Heavy emphasis on problem definition & hypothesis testing in the first half. In the second half, explore effective strategies for articulating the findings & recommendations from strategic analyses, both verbally & through slides, spreadsheets, & graphics."
GBUSD,8008,18466,GBUS,Graduate Business,"Democracy and Financial: Politics, Markets, and Institutions",3,Graduate Business,"Today's students likely have an incomplete awareness of the crisis. More broadly, present and future policymakers risk repeating history as the memory of the 2008 crisis fades. It is important that the rising generation of leaders appreciate the causes and consequences of this crisis in anticipation of future crises. Such historical familiarity will be important for the development of leaders in government, business, NGOs, and households."
GBUSD,8009,18420,GBUS,Graduate Business,International Exchange,0,Graduate Business,Course needed to confirm students' exchange program of study.
GBUSD,8010,18459,GBUS,Graduate Business,International Exchange,0,Graduate Business,Course needed to confirm students' exchange program of study.
GBUSD,8012,18425,GBUS,Graduate Business,Deviant Marketing,1.5,Graduate Business,"This course is intended for students who are interested in gaining a deeper understanding of new trends in the marketplace but most importantly for those aspiring to change consumer behavior. It is targeted to students interested in careers in marketing in broad terms, from consumer goods to nonprofit management to technology."
GBUSD,8013,18460,GBUS,Graduate Business,Strategic Corporate Governance,1.5,Graduate Business,"Exploration of the theoretical and conceptual foundations of corporate governance alongside contemporary issues and debates. Although the principal focus of this course is on the strategic role of corporate governance, the course materials and class discussions will reflect the fact that the study of corporate governance is a wide-ranging field that builds upon organizational behavior, ethics, law, finance, accounting, and other disciplines."
GBUSD,8015,18523,GBUS,Graduate Business,Behavioral Decision Making,1.5,Graduate Business,"In this course, students will examine many behavioral anomalies and, more important, explore some frames that explain these apparently irrational behaviors. The emphasis of the course is on solving practical business problems."
GBUSD,8018,18467,GBUS,Graduate Business,Economic Inequality and Social Mobility,1.5,Graduate Business,"The United States and many other countries face a trio of inequalities: income, wealth, and opportunity. While income inequality is a well-accepted result of a capitalist economy, the degree of inequality has been steadily increasing since 1979. Many including Nobel Prize winning economists Robert Schiller and Joseph Stiglitz state that economic inequality is the defining challenge of our time."
GBUSD,8019,18630,GBUS,Graduate Business,Defining Moments,1.5,Graduate Business,Seasoned leaders will tell you that there were defining moments - those particular instances in which their values and judgment were tested in an inescapable way - that played a disproportionate role in how they and others thought about their success. Navigating these defining moments well usually requires strong communication. Economists Robert Schiller and Joseph Stiglitz state that economic inequality is the defining challenge of our time.
GBUSD,8022,18487,GBUS,Graduate Business,Transforming Societies,1.5,Graduate Business,"This course seeks to equip students with basic economic and development concepts and tools in order to enhance their problem-solving skills, and to deepen their understanding of socioeconomic issues and how business, entrepreneurs, and markets can promote human development and transform societies across the world. We will tackle issues in the social sector, sustainability challenges, problems of the underserved, and other urgent issues."
